Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C17, C18, C2, C23, C25, C4, C8",0603,10,0.22uf,C106216
"C11, C14, C9",0805,3,10uf,C2167686
"C12, C15, C24, C26, C6",0603,5,4.7uf,C107368
"C16, C5",0603,2,10nf,C163173
"C19, C20",0603,2,10pf,C1634
"C21, C22",0603,2,9pf,C430713
C27,1206,1,100uF,C883598
"C3, C7",0603,2,2.2uf,C100082
"D1, DI3",SOT-143,2,SP0503BAHT,C3040626
"D3, D4",0402,2,LED,C264407
D5,SOT-23,1,BAT54C,C266596
F1,0805,1,Fuse,C5220829
"FB1, FB2",0805,2,Ferrite_Bead,C454098
IC1,BGA196C80P14X14_1200X1200X152,1,MIMXRT1062DVJ6B,C3216699
"J1, J2, J4, J5",PinHeader_1x11_P2.54mm_Vertical,4,Conn_01x11_Male,
J3,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12_Male,
"J6, J7",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Male,
L1,0805,1,4.7uH,C86090
NCP692,DFN-6-1EP_3x3mm_P0.95mm_EP1.7x2.6mm,1,"OnSemi NCP692, fixed version",C145519
P2,PinHeader_1x01_P1.00mm_Vertical,1,D26,
PROG1,KMR241GLFS,1,SW_Push,C221682
Q1,SOT-23,1,DMP3125L,C459542
"R1, R2",0603,2,5.1k,C105580
"R10, R14",0402,2,1k,C11702
"R11, R16, R3, R4",0603,4,100k,C15458
"R12, R13",0603,2,56k,C23206
R15,0603,1,2.2M,C18679
"R5, R9",0603,2,1M,C22935
SWD1,PinHeader_1x07_P1.27mm_Vertical,1,SWD,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.0mm,7,TestPoint,
U3,XSON8_4x4mm,1,W25Q64JVXGIM,C5440778
U4,QFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,1,MKL02Z32VFG4,Custom firmware part
U5,SOT-23-6,1,TPD3S014DBVR,C87384
"USB_DFP1, USB_UFP1",TYPE-C-31-M-14,2,USB_C_Receptacle_USB2.0,C223907
Y1,Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm,1,24MHz,C5544458
Y2,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768kHz,C510776
